Text,Language
geology area evolve time rock units deposit insert deformational process change shape locations,English
rock units first emplace either deposition onto surface intrude overlie rock,English
deposition occur sediment settle onto surface earth later lithify sedimentary rock volcanic material volcanic ash lava flow blanket surface,English
igneous intrusions batholiths laccoliths dike sills push upwards overlie rock crystallize intrude,English
initial sequence rock deposit rock units deform andor metamorphose,English
deformation typically occur result horizontal shorten horizontal extension sidetoside strikeslip motion,English
structural regimes broadly relate convergent boundaries divergent boundaries transform boundaries respectively tectonic plat,English
earth estimate form billion years ago solar nebula along sun planets,English
moon form roughly million years later,English
initially melt outer layer earth cool result solid crust,English
outgassing volcanic activity produce primordial atmosphere,English
condense water vapor come ice deliver comets produce oceans water source,English
highly energetic chemistry believe produce selfreplicating molecule around billion years ago,English
continents form break reform surface earth reshape hundreds millions years occasionally combine make supercontinent,English
roughly million years ago earliest know supercontinent rodinia begin break apart,English
continents later recombine form pannotia break apart million years ago finally pangaea break apart million years ago,English
neoproterozoic freeze temperatures cover much earth glaciers ice sheet,English
hypothesis term snowball earth particular interest precede cambrian explosion multicellular life form begin proliferate – million years ago,English
since cambrian explosion five distinctly identifiable mass extinctions,English
last mass extinction occur million years ago meteorite collision probably trigger extinction nonavian dinosaurs large reptiles spar small animals mammals,English
past million years mammalian life diversify,English
several million years ago species small african ape gain ability stand upright,English
subsequent advent human life development agriculture civilization allow humans affect earth rapidly previous life form affect nature quantity organisms well global climate,English
comparison great oxygenation event produce proliferation algae siderian period require million years culminate,English
present classify part mass extinction event holocene extinction event fastest ever occur,English
wilson harvard university predict human destruction biosphere could cause extinction onehalf species next years,English
extent current extinction event still research debate calculate biologists,English
earth atmosphere key factor sustain ecosystem,English
thin layer gas envelop earth hold place gravity,English
air mostly nitrogen oxygen water vapor much smaller amount carbon dioxide argon etc,English
atmospheric pressure decline steadily altitude,English
ozone layer play important role deplete amount ultraviolet uv radiation reach surface,English
dna readily damage uv light serve protect life surface,English
atmosphere retain heat night thereby reduce daily temperature extremes,English
terrestrial weather occur almost exclusively lower part atmosphere serve convective system redistribute heat,English
ocean currents another important factor determine climate particularly major underwater thermohaline circulation distribute heat energy equatorial oceans polar regions,English
currents help moderate differences temperature winter summer temperate zone,English
without redistributions heat energy ocean currents atmosphere tropics would much hotter polar regions much colder,English
weather beneficial harmful effect,English
extremes weather tornadoes hurricanes cyclones expend large amount energy along paths produce devastation,English
surface vegetation evolve dependence seasonal variation weather sudden change last years dramatic effect vegetation animals depend growth food,English
climate measure longterm trend weather,English
various factor know influence climate include ocean currents surface albedo greenhouse gas variations solar luminosity change earth orbit,English
base historical record earth know undergo drastic climate change past include ice age,English
climate region depend number factor especially latitude,English
latitudinal band surface similar climatic attribute form climate region,English
number regions range tropical climate equator polar climate northern southern extremes,English
weather influence season result earth axis tilt relative orbital plane,English
thus give time summer winter one part earth directly expose ray sun,English
exposure alternate earth revolve orbit,English
give time regardless season northern southern hemispheres experience opposite season,English
weather chaotic system readily modify small change environment accurate weather forecast limit days,English
overall two things happen worldwide temperature increase average regional climates undergo noticeable change,English
water chemical substance compose hydrogen oxygen vital know form life,English
typical usage water refer liquid form state substance solid state ice gaseous state water vapor steam,English
water cover earth surface,English
earth find mostly oceans large body water water grind aquifers air vapor cloud precipitation,English
oceans hold surface water glaciers polar ice cap land surface water rivers lakes ponds,English
additionally minute amount earth water contain within biological body manufacture products,English
ocean major body saline water principal component hydrosphere,English
approximately earth surface area million square kilometers cover ocean continuous body water customarily divide several principal oceans smaller,English
half area meter feet deep,English
average oceanic salinity around part thousand ppt nearly seawater salinity range ppt,English
though generally recognize several separate oceans water comprise one global interconnect body salt water often refer world ocean global ocean,English
concept global ocean continuous body water relatively free interchange among part fundamental importance oceanography,English
major oceanic divisions define part continents various archipelagos criteria divisions descend order size pacific ocean atlantic ocean indian ocean southern ocean arctic ocean,English
smaller regions oceans call gulfs bay name,English
salt lakes smaller body landlocked saltwater interconnect world ocean,English
two notable examples salt lakes aral great salt lake,English
lake latin word lacus terrain feature physical feature body liquid surface world localize bottom basin another type landform terrain feature global move slowly move,English
earth body water consider lake inland part ocean larger deeper pond feed river,English
world earth know harbor lakes titan saturns largest moon lakes ethane likely mix methane,English
know titans lakes feed rivers though titans surface carve numerous river bed,English
natural lakes earth generally find mountainous areas rift zone areas ongoing recent glaciation,English
lakes find endorheic basins along course mature rivers,English
part world many lakes chaotic drainage pattern leave last ice age,English
lakes temporary geologic time scale slowly fill sediment spill basin contain,English
pond body stand water either natural manmade usually smaller lake,English
wide variety manmade body water classify ponds include water garden design aesthetic ornamentation fish ponds design commercial fish breed solar ponds design store thermal energy,English
ponds lakes distinguish stream via current speed,English
currents stream easily observe ponds lakes possess thermally drive microcurrents moderate wind drive currents,English
feature distinguish pond many aquatic terrain feature stream pool tide pool,English
river natural watercourse usually freshwater flow towards ocean lake another river,English
case river simply flow grind dry completely reach another body water,English
small rivers may call several name include stream creek brook rivulet rill general rule define call river,English
many name small rivers specific geographic location one example burn scotland northeast england,English
sometimes river say larger creek always case due vagueness language,English
river part hydrological cycle,English
water within river generally collect precipitation surface runoff groundwater recharge spring release store water natural ice snowpacks ie glaciers,English
stream flow body water current confine within bed stream bank,English
unite state stream classify watercourse less feet metres wide,English
stream important conduits water cycle instrument groundwater recharge serve corridors fish wildlife migration,English
biological habitat immediate vicinity stream call riparian zone,English
give status ongoing holocene extinction stream play important corridor role connect fragment habitats thus conserve biodiversity,English
study stream waterways general involve many branch interdisciplinary natural science engineer include hydrology fluvial geomorphology aquatic ecology fish biology riparian ecology others,English
ecosystems compose variety biotic abiotic components function interrelate way,English
structure composition determine various environmental factor interrelate,English
variations factor initiate dynamic modifications ecosystem,English
important components soil atmosphere radiation sun water live organisms,English
central ecosystem concept idea live organisms interact every element local environment,English
eugene odum founder ecology state unit include organisms ie community give area interact physical environment flow energy lead clearly define trophic structure biotic diversity material cycle ie,English
exchange materials live nonliving part within system ecosystem,English
within ecosystem species connect dependent upon one another food chain exchange energy matter well environment,English
human ecosystem concept base humannature dichotomy idea species ecologically dependent well abiotic constituents biotope,English
smaller unit size call microecosystem,English
example microsystem stone life,English
macroecosystem might involve whole ecoregion drainage basin,English
wilderness generally define areas significantly modify human activity,English
wilderness areas find preserve estates farm conservation preserve ranch national forest national park even urban areas along rivers gulches otherwise undeveloped areas,English
wilderness areas protect park consider important survival certain species ecological study conservation solitude,English
nature writers believe wilderness areas vital human spirit creativity ecologists consider wilderness areas integral part earth selfsustaining natural ecosystem biosphere,English
may preserve historic genetic traits provide habitat wild flora fauna may difficult impossible recreate zoos arboretums laboratories,English
although universal agreement definition life scientists generally accept biological manifestation life characterize organization metabolism growth adaptation response stimuli reproduction,English
life may say simply characteristic state organisms,English
properties common terrestrial organisms plant animals fungi protists archaea bacteria cellular carbonandwaterbased complex organization metabolism capacity grow respond stimuli reproduce,English
entity properties generally consider life,English
however every definition life consider properties essential,English
humanmade analogs life may consider life,English
biosphere part earth outer shell—including land surface rock water air atmosphere—within life occur biotic process turn alter transform,English
broadest geophysiological point view biosphere global ecological system integrate live be relationships include interaction elements lithosphere rock hydrosphere water atmosphere air,English
entire earth contain billion tons trillion pound × kilograms biomass life live within various environments within biosphere,English
ninetenths total biomass earth plant life animal life depend heavily existence,English
million species plant animal life identify date estimate actual number exist species range several million well million,English
number individual species life constantly degree flux new species appear others cease exist continual basis,English
total number species rapid decline,English
origin life earth well understand know occur least billion years ago hadean archean eons primordial earth substantially different environment find present,English
life form possess basic traits selfreplication inheritable traits,English
life appear process evolution natural selection result development evermore diverse life form,English
species unable adapt change environment competition life form become extinct,English
however fossil record retain evidence many older species,English
current fossil dna evidence show exist species trace continual ancestry back first primitive life form,English
basic form plant life develop process photosynthesis sun energy could harvest create condition allow complex life form,English
resultant oxygen accumulate atmosphere give rise ozone layer,English
incorporation smaller cells within larger ones result development yet complex cells call eukaryotes,English
cells within colonies become increasingly specialize result true multicellular organisms,English
ozone layer absorb harmful ultraviolet radiation life colonize surface earth,English
first form life develop earth microbes remain form life billion years ago multicellular organisms begin appear,English
microorganisms singlecelled organisms generally microscopic smaller human eye see,English
include bacteria fungi archaea protista,English
life form find almost every location earth liquid water include earth interior,English
reproduction rapid profuse,English
combination high mutation rate horizontal gene transfer ability make highly adaptable able survive new environments include outer space,English
form essential part planetary ecosystem,English
however microorganisms pathogenic post health risk organisms,English
originally aristotle divide live things plant generally move fast enough humans notice animals,English
linnaeus system become kingdoms vegetabilia later plantae animalia,English
since become clear plantae originally define include several unrelated group fungi several group algae remove new kingdoms,English
however still often consider plant many contexts,English
bacterial life sometimes include flora classifications use term bacterial flora separately plant flora,English
among many ways classify plant regional floras depend purpose study include fossil flora remnants plant life previous,English
people many regions countries take great pride individual array characteristic flora vary widely across globe due differences climate terrain,English
regional floras commonly divide categories native flora agricultural garden flora lastly mention intentionally grow cultivate,English
type native flora actually introduce centuries ago people migrate one region continent another become integral part native natural flora place introduce,English
example human interaction nature blur boundary consider nature,English
another category plant historically carve weed,English
though term fall disfavor among botanists formal way categorize useless plant informal use word weed describe plant deem worthy elimination illustrative general tendency people societies seek alter shape course nature,English
similarly animals often categorize ways domestic farm animals wild animals pests etc,English
accord relationship human life,English
animals category several characteristics generally set apart live things,English
animals eukaryotic usually multicellular although see myxozoa separate bacteria archaea protists,English
heterotrophic generally digest food internal chamber separate plant algae,English
distinguish plant algae fungi lack cell wall,English
exceptions—most notably two phyla consist sponge placozoans—animals body differentiate tissue,English
include muscle able contract control locomotion nervous system send process signal,English
typically internal digestive chamber,English
eukaryotic cells possess animals surround characteristic extracellular matrix compose collagen elastic glycoproteins,English
may calcify form structure like shell bone spicules framework upon cells move reorganize development maturation support complex anatomy require mobility,English
although humans comprise minuscule proportion total live biomass earth human effect nature disproportionately large,English
extent human influence boundaries humans regard nature make environments clear cut except extremes,English
even extremes amount natural environment free discernible human influence diminish increasingly rapid pace,English
development technology human race allow greater exploitation natural resources help alleviate risk natural hazard,English
spite progress however fate human civilization remain closely link change environment,English
exist highly complex feedback loop use advance technology change environment slowly become understand,English
manmade threats earth natural environment include pollution deforestation disasters oil spill,English
humans contribute extinction many plant animals,English
humans employ nature leisure economic activities,English
acquisition natural resources industrial use remain sizable component worlds economic system,English
activities hunt fish use sustenance leisure often different people,English
agriculture first adopt around th millennium bce,English
range food production energy nature influence economic wealth,English
although early humans gather uncultivated plant materials food employ medicinal properties vegetation heal modern human use plant agriculture,English
clearance large tracts land crop growth lead significant reduction amount available forestation wetlands result loss habitat many plant animal species well increase erosion,English
beauty nature historically prevalent theme art book fill large section libraries bookstores,English
nature depict celebrate much art photography poetry literature show strength many people associate nature beauty,English
reason association exist association consist study branch philosophy call aesthetics,English
beyond certain basic characteristics many philosophers agree explain see beautiful opinions virtually endless,English
nature wildness important subject various world history,English
early tradition landscape art begin china tang dynasty –,English
tradition represent nature become one aim chinese paint significant influence asian art,English
although natural wonder celebrate psalm book job wilderness portrayals art become prevalent especially work romantic movement,English
british artists john constable w turner turn attention capture beauty natural world paint,English
paint primarily religious scenes human be,English
william wordsworths poetry describe wonder natural world formerly view threaten place,English
increasingly value nature become aspect western culture,English
artistic movement coincide transcendentalist movement western world,English
common classical idea beautiful art involve word mimesis imitation nature,English
realm ideas beauty nature perfect imply perfect mathematical form generally pattern nature,English
david rothenburg write beautiful root science goal art highest possibility humanity ever hope see,English
field science see nature matter motion obey certain laws nature science seek understand,English
reason fundamental science generally understand physics—the name still recognizable mean study nature,English
matter commonly define substance physical object compose,English
constitute observable universe,English
visible components universe believe compose percent total mass,English
remainder believe consist percent cold dark matter percent dark energy,English
exact arrangement components still unknown intensive investigation physicists,English
behaviour matter energy throughout observable universe appear follow welldefined physical laws,English
laws employ produce cosmological model successfully explain structure evolution universe observe,English
mathematical expressions laws physics employ set twenty physical constants appear static across observable universe,English
value constants carefully measure reason specific value remain mystery,English
outer space simply call space refer relatively empty regions universe outside atmospheres celestial body,English
outer space use distinguish airspace terrestrial locations,English
discrete boundary earth atmosphere space atmosphere gradually attenuate increase altitude,English
outer space within solar system call interplanetary space pass interstellar space know heliopause,English
outer space sparsely fill several dozen type organic molecules discover date microwave spectroscopy blackbody radiation leave big bang origin universe cosmic ray include ionize atomic nuclei various subatomic particles,English
gas plasma dust small meteors,English
additionally sign human life outer space today material leave previous man unman launch potential hazard spacecraft,English
debris reenters atmosphere periodically,English
although earth body within solar system know support life evidence suggest distant past planet mar possess body liquid water surface,English
brief period mar history may capable form life,English
present though water remain mar freeze,English
life exist mar likely locate underground liquid water still exist,English
condition terrestrial planets mercury venus appear harsh support life know,English
conjecture europa fourthlargest moon jupiter may possess subsurface ocean liquid water could potentially host life,English
astronomers start discover extrasolar earth analogs – planets lie habitable zone space surround star therefore could possibly host life know,English
media organizations philosophy wikipedia ˌwɪkɪˈpiːdiə listen wikihpeedeeə ˌwɪki listen wikee multilingual opencollaborative online encyclopedia create maintain community volunteer editors use wikibased edit system,English
one popular websites rank alexa january update economist newspaper place thmostvisited place web,English
feature advertisements host wikimedia foundation american nonprofit organization fund primarily donations,English
wikipedia launch january jimmy wales larry sanger,English
sanger coin name portmanteau wiki encyclopedia,English
initially englishlanguage encyclopedia versions languages quickly develop,English
million article english wikipedia largest wikipedia encyclopedias,English
overall wikipedia comprise million article attract billion unique visitors month,English
wikipedia criticize uneven accuracy exhibit systemic bias include gender bias majority editors male,English
editathons hold encourage female editors increase coverage womens topics,English
time magazine state opendoor policy allow anyone edit make wikipedia biggest possibly best encyclopedia world testament vision jimmy wales,English
project reputation improve increase efforts improve quality reliability base unique structure curation absence commercial bias,English
facebook youtube announce would help users detect fake news suggest link relate wikipedia article,English
collaborative online encyclopedias attempt wikipedia none successful,English
wikipedia begin complementary project nupedia free online englishlanguage encyclopedia project whose article write experts review formal process,English
found march ownership bomis web portal company,English
main figure bomis ceo jimmy wales larry sanger editorinchief nupedia later wikipedia,English
nupedia initially license nupedia open content license even wikipedia found nupedia switch gnu free documentation license urge richard stallman,English
wales credit define goal make publicly editable encyclopedia sanger credit strategy use wiki reach goal,English
january sanger propose nupedia mail list create wiki feeder project nupedia,English
domains wikipediacom wikipediaorg register january january respectively wikipedia launch january single englishlanguage edition wwwwikipediacom announce sanger nupedia mail list,English
wikipedias policy neutral pointofview codify first months,English
otherwise relatively rule initially wikipedia operate independently nupedia,English
originally bomis intend make wikipedia business profit,English
wikipedia gain early contributors nupedia slashdot post web search engine index,English
language editions create total,English
nupedia wikipedia coexist formers servers take permanently text incorporate wikipedia,English
english wikipedia pass mark two million article september make largest encyclopedia ever assemble surpass yongle encyclopedia make ming dynasty hold record almost years,English
cite fear commercial advertise lack control wikipedia users spanish wikipedia fork wikipedia create enciclopedia libre february,English
wales announce wikipedia would display advertisements change wikipedias domain wikipediacom wikipediaorg,English
though english wikipedia reach three million article august growth edition term number new article contributors appear peak around early,English
around article add daily encyclopedia average roughly,English
team palo alto research center attribute slow growth project increase exclusivity resistance change,English
others suggest growth flatten naturally article could call lowhanging fruit—topics clearly merit article—have already create build extensively,English
november researcher rey juan carlos university madrid find english wikipedia lose editors first three months comparison project lose editors period,English
wall street journal cite array rule apply edit dispute relate content among reason trend,English
wales dispute claim deny decline question methodology study,English
two years later wales acknowledge presence slight decline note decrease little writers june june,English
interview wales claim number editors stable sustainable,English
article title decline wikipedia technology review question claim,English
article reveal since wikipedia lose third volunteer editors still focus increasingly minutiae,English
july atlantic report number administrators decline,English
november issue new york magazine katherine ward state wikipedia sixthmostused website face internal crisis,English
january wikipedia enter first time topten list popular websites us accord comscore network,English
million unique visitors wikipedia rank number surpass new york time apple,English
mark significant increase january rank number wikipedia receive around million unique visitors,English
march update wikipedia rank among websites term popularity accord alexa internet,English
receive eight billion page view every month,English
february new york time report wikipedia billion page view nearly million unique visitors month accord rat firm comscore,English
loveland reagle argue process wikipedia follow long tradition historical encyclopedias accumulate improvements piecemeal stigmergic accumulation,English
january english wikipedia participate series coordinate protest two propose laws unite state congress—the stop online piracy act sopa protect ip act pipa—by black page hours,English
million people view blackout explanation page temporarily replace wikipedia content,English
january subodh varma report economic time indicate wikipedias growth stall lose nearly ten percent page view last year,English
decline two billion december december,English
popular versions lead slide pageviews english wikipedia decline twelve percent german version slide percent japanese version lose nine percent,English
varma add wikipedias managers think could due errors count experts feel google knowledge graph project launch last year may gobble wikipedia users,English
contact matter clay shirky associate professor new york university fellow harvards berkman klein center internet society indicate suspect much page view decline due knowledge graph state get question answer search page dont need click,English
december wikipedia rank fifth popular websites globally,English
january wikipedia asteroid name wikipedia october wikipedia honor wikipedia monument july page volumes wikipedia become available print wikipedia,English
april israeli lunar lander beresheet crash land surface moon carry copy nearly english wikipedia engrave thin nickel plat experts say plat likely survive crash,English
june scientists report gb article text english wikipedia encode synthetic dna,English
unlike traditional encyclopedias wikipedia follow procrastination principlenote regard security content,English
start almost entirely open—anyone could create article wikipedia article could edit reader even wikipedia account,English
modifications article would publish immediately,English
result article could contain inaccuracies errors ideological bias nonsensical irrelevant text,English
due increase popularity wikipedia editions include english version introduce edit restrictions certain case,English
instance english wikipedia language editions register users may create new article,English
english wikipedia among others particularly controversial sensitive vandalismprone page protect vary degrees,English
frequently vandalize article semiprotected extend confirm protect mean autoconfirmed extend confirm editors able modify,English
particularly contentious article may lock administrators able make change,English
article columbia journalism review identify wikipedias page protection policies perhaps important mean wikipedias disposal regulate market ideas,English
certain case editors allow submit modifications review require editors depend certain condition,English
example german wikipedia maintain stable versions article pass certain review,English
follow protract trials community discussion english wikipedia introduce pending change system december,English
system new unregistered users edit certain controversial vandalismprone article review establish users publish,English
although change systematically review software power wikipedia provide tool allow anyone review change make others,English
history page article link revision,English
note article anyone undo others change click link article history page,English
anyone view latest change article anyone may maintain watchlist article interest notify change,English
new page patrol process whereby newly create article check obvious problems,English
economics phd student andrea ciffolilli argue low transaction cost participate wiki create catalyst collaborative development feature allow easy access past versions page favor creative construction creative destruction,English
change edit manipulate content way purposefully compromise integrity wikipedia consider vandalism,English
common obvious type vandalism include additions obscenities crude humor,English
vandalism include advertise type spam,English
sometimes editors commit vandalism remove content entirely blank give page,English
less common type vandalism deliberate addition plausible false information article difficult detect,English
vandals introduce irrelevant format modify page semantics page title categorization manipulate underlie code article use image disruptively,English
obvious vandalism generally easy remove wikipedia article median time detect fix vandalism minutes,English
however vandalism take much longer repair,English
seigenthaler biography incident anonymous editor introduce false information biography american political figure john seigenthaler may,English
seigenthaler falsely present suspect assassination john f,English
kennedy,English
article remain uncorrected four months,English
seigenthaler found editorial director usa today founder freedom forum first amendment center vanderbilt university call wikipedia cofounder jimmy wales ask whether way know contribute misinformation,English
wales reply although perpetrator eventually trace,English
incident seigenthaler describe wikipedia flaw irresponsible research tool,English
incident lead policy change wikipedia specifically target tighten verifiability biographical article live people,English
daniel tosh encourage viewers show tosh visit show wikipedia article edit,English
later episode comment edit article offensive make audience prompt article lock edit,English
wikipedians often dispute regard content may result repeatedly make opposite change article know edit war,English
process widely see resourceconsuming scenario useful knowledge add,English
practice criticize create competitive conflict base edit culture associate traditional masculine gender roles contribute gender bias wikipedia,English
special interest group engage edit war advance political interest,English
content wikipedia subject laws particular copyright laws unite state us state virginia majority wikipedias servers locate,English
beyond legal matter editorial principles wikipedia embody five pillars numerous policies guidelines intend appropriately shape content,English
even rule store wiki form wikipedia editors write revise websites policies guidelines,English
editors enforce rule delete modify noncompliant material,English
originally rule nonenglish editions wikipedia base translation rule english wikipedia,English
since diverge extent,English
accord rule english wikipedia entry wikipedia must topic encyclopedic dictionary entry dictionarystyle,English
topic meet wikipedias standards notability generally mean topic must cover mainstream media major academic journal source independent article subject,English
wikipedia intend convey knowledge already establish recognize,English
must present original research,English
claim likely challenge require reference reliable source,English
among wikipedia editors often phrase verifiability truth express idea readers encyclopedia ultimately responsible check truthfulness article make interpretations,English
time lead removal information though valid properly source,English
finally wikipedia must take side,English
opinions viewpoints attributable external source must enjoy appropriate share coverage within article,English
know neutral point view npov,English
wikipedias initial anarchy integrate democratic hierarchical elements time,English
article consider own creator editor subject article,English
editors good stand community run one many level volunteer stewardship begin administrator privilege users delete page prevent article change case vandalism editorial dispute set protective measure article try prevent certain people edit,English
despite name administrators suppose enjoy special privilege decisionmaking instead power mostly limit make edit projectwide effect thus disallow ordinary editors implement restrictions intend prevent certain persons make disruptive edit vandalism,English
fewer editors become administrators years past part process vet potential wikipedia administrators become rigorous,English
bureaucrats name new administrators solely upon recommendations community,English
time wikipedia develop semiformal dispute resolution process assist circumstances,English
determine community consensus editors raise issue appropriate community forumsnote seek outside input third opinion request initiate general community discussion know request comment,English
arbitration committee preside ultimate dispute resolution process,English
although dispute usually arise disagreement two oppose view article read arbitration committee explicitly refuse directly rule specific view adopt,English
statistical analyse suggest committee ignore content dispute rather focus way dispute conduct function much resolve dispute make peace conflict editors weed problematic editors allow potentially productive editors back participate,English
therefore committee dictate content article although sometimes condemn content change deem new content violate wikipedia policies example new content consider bias,English
remedy include caution probations use case ban editors article subject matter wikipedia,English
complete ban wikipedia generally limit instance impersonation antisocial behavior,English
conduct impersonation antisocial rather anticonsensus violation edit policies remedy tend limit warn,English
article user wikipedia associate talk page,English
form primary communication channel editors discuss coordinate debate,English
wikipedias community describe cultlike although always entirely negative connotations,English
project preference cohesiveness even require compromise include disregard credentials refer antielitism,English
wikipedians sometimes award one another virtual barnstars good work,English
personalize tokens appreciation reveal wide range value work extend far beyond simple edit include social support administrative action type articulation work,English
wikipedia require editors contributors provide identification,English
wikipedia grow write wikipedia,English
become one question frequently ask project,English
jimmy wales argue community dedicate group hundred volunteer make bulk contributions wikipedia project therefore much like traditional organization,English
slate magazine article report accord researchers palo alto one percent wikipedia users responsible half sit edit,English
method evaluate contributions later dispute aaron swartz note several article sample large portion content measure number character contribute users low edit count,English
english wikipedia article register editors active editors,English
editor consider active make one edit past days,English
editors fail comply wikipedia cultural rituals sign talk page comment may implicitly signal wikipedia outsiders increase odds wikipedia insiders may target discount contributions,English
become wikipedia insider involve nontrivial cost contributor expect learn wikipediaspecific technological cod submit sometimes convolute dispute resolution process learn baffle culture rich injokes insider reference,English
editors log sense secondclass citizens wikipedia participants accredit members wiki community vest interest preserve quality work product basis ongoing participation contribution histories anonymous unregistered editors recognize ip address attribute particular editor certainty,English
study researchers dartmouth college find anonymous infrequent contributors wikipedia reliable source knowledge contributors register site,English
jimmy wales state turn edit do users people fact active people do edit,English
however business insider editor journalist henry blodget show random sample article content wikipedia measure amount contribute text survive latest sample edit create outsiders edit format do insiders,English
study find wikipedians less agreeable open conscientious others although later commentary point serious flaw include data show higher openness differences control group sample small,English
accord study evidence grow resistance wikipedia community new content,English
several study show wikipedia contributors male,English
notably result wikimedia foundation survey show percent wikipedia editors female,English
universities throughout unite state try encourage females become wikipedia contributors,English
similarly many universities include yale brown give college credit students create edit article relate women science technology,English
andrew lih professor scientist write new york time reason think number male contributors outnumber number females greatly identify woman may expose oneself ugly intimidate behavior,English
data show africans underrepresented among wikipedia editors,English
currently language editions wikipedia call language versions simply wikipedias,English
january six largest order article count english cebuano swedish german french dutch wikipedias,English
second third largest wikipedias owe position articlecreating bot lsjbot create half article swedish wikipedia article cebuano waray wikipedias,English
latter languages philippines,English
addition top six twelve wikipedias million article russian italian spanish polish waray vietnamese japanese egyptian arabic chinese arabic ukrainian portuguese seven article persian catalan serbian indonesian norwegian bokmål korean finnish,English
largest english wikipedia million article,English
january update accord alexa english subdomain enwikipediaorg english wikipedia receive approximately wikipedias cumulative traffic remain split among languages russian chinese japanese spanish,English
distribution article different language editions january unit number bar article,English
since wikipedia base web therefore worldwide contributors language edition may use different dialects may different countries case english edition,English
differences may lead conflict spell differences eg,English
colour versus color point view,English
though various language editions hold global policies neutral point view diverge point policy practice notably whether image license freely may use claim fair use,English
jimmy wales describe wikipedia effort create distribute free encyclopedia highest possible quality every single person planet language,English
